2025-10-24T11:14:21.760109256Z [inf]  2025-10-24 11:14:21,757 - services.strategy_engine - INFO - Generated 24 signals from 369 symbols
2025-10-24T11:14:21.760115997Z [inf]  2025-10-24 11:14:21,757 - __main__ - INFO - ✅ Analysis complete in 25.12s - 24 signals generated
2025-10-24T11:14:21.760122196Z [inf]  2025-10-24 11:14:21,757 - services.strategy_engine - INFO - Filtered 21 signals, kept top 3
2025-10-24T11:14:21.760128323Z [inf]  2025-10-24 11:14:21,757 - __main__ - INFO - 🎯 Top 3 signals selected:
2025-10-24T11:14:21.760134166Z [inf]  2025-10-24 11:14:21,757 - __main__ - INFO -   1. AERGOUSDT: SELL @ 0.0635 (confidence: 80.0%, ROI: 2.00%)
2025-10-24T11:14:21.760139910Z [inf]  2025-10-24 11:14:21,757 - __main__ - INFO -   2. FFUSDT: BUY @ 0.1603 (confidence: 70.4%, ROI: 2.00%)
2025-10-24T11:14:21.760147407Z [inf]  2025-10-24 11:14:21,757 - __main__ - INFO -   3. BTCUSDT: BUY @ 111259.4900 (confidence: 70.0%, ROI: 2.00%)
2025-10-24T11:14:22.894713938Z [inf]  2025-10-24 11:14:22,890 - core.cache_manager - INFO - Cleaned up 230 expired entries
2025-10-24T11:14:22.894726297Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO - 
2025-10-24T11:14:22.894734212Z [inf]  📊 Cycle Summary:
2025-10-24T11:14:22.894739644Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   ⏱️  Total time: 33.03s
2025-10-24T11:14:22.894746247Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   📥 Fetch time: 6.77s
2025-10-24T11:14:22.894754384Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   🔍 Analysis time: 25.12s
2025-10-24T11:14:22.894759665Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   📊 Symbols analyzed: 369
2025-10-24T11:14:22.894765177Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   🎯 Signals generated: 24
2025-10-24T11:14:22.894770470Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO -   💼 Active positions: 3/3
2025-10-24T11:14:22.894776371Z [inf]  2025-10-24 11:14:22,891 - __main__ - INFO - ======================================================================
2025-10-24T11:14:22.894782728Z [inf]  
